"model_id","origin_date","scenario_id","location","target","horizon","output_type","output_type_id","value"
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.01,292495.88
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.025,308584.4
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.05,312990.6
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.1,327375
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.15,337199.4
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.2,345255.6
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.25,353101
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.3,358059.8
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.35,365499.4
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.4,371158.8
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.45,374589.2
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.5,379901
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.55,386230.8
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.6,394857.6
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.65,400894.6
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.7,409141.6
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.75,416693
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.8,421202.6
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.85,433547.8
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.9,446338.8
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.95,469680
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.975,496936.6
"HUBuni-simexamp",2021-03-07,"A-2021-03-05","US","inc case",1,"quantile",0.99,507019
