"time_idx","location","value","target"
"2020-01-25","02",0,"inc case"
"2020-01-25","01",0,"inc case"
"2020-01-25","05",0,"inc case"
"2020-01-25","04",0,"inc case"
"2020-01-25","06",0,"inc case"
"2020-01-25","08",0,"inc case"
"2020-01-25","09",0,"inc case"
"2020-01-25","11",0,"inc case"
"2020-01-25","10",0,"inc case"
"2020-01-25","12",0,"inc case"
"2020-01-25","13",0,"inc case"
"2020-01-25","15",0,"inc case"
"2020-01-25","19",0,"inc case"
"2020-01-25","16",0,"inc case"
"2020-01-25","17",1,"inc case"
"2020-01-25","18",0,"inc case"
"2020-01-25","20",0,"inc case"
"2020-01-25","21",0,"inc case"
"2020-01-25","22",0,"inc case"
"2020-01-25","25",0,"inc case"
"2020-01-25","24",0,"inc case"
"2020-01-25","23",0,"inc case"
"2020-01-25","26",0,"inc case"
"2020-01-25","27",0,"inc case"
"2020-01-25","29",0,"inc case"
"2020-01-25","28",0,"inc case"
"2020-01-25","30",0,"inc case"
"2020-01-25","37",0,"inc case"
"2020-01-25","38",0,"inc case"
"2020-01-25","31",0,"inc case"
"2020-01-25","33",0,"inc case"
"2020-01-25","34",0,"inc case"
"2020-01-25","35",0,"inc case"
"2020-01-25","32",0,"inc case"
"2020-01-25","36",0,"inc case"
"2020-01-25","39",0,"inc case"
"2020-01-25","40",0,"inc case"
"2020-01-25","41",0,"inc case"
"2020-01-25","42",0,"inc case"
"2020-01-25","44",0,"inc case"
"2020-01-25","45",0,"inc case"
"2020-01-25","46",0,"inc case"
"2020-01-25","47",0,"inc case"
"2020-01-25","48",0,"inc case"
"2020-01-25","49",0,"inc case"
"2020-01-25","51",0,"inc case"
"2020-01-25","50",0,"inc case"
"2020-01-25","53",1,"inc case"
"2020-01-25","55",0,"inc case"
"2020-01-25","54",0,"inc case"
"2020-01-25","56",0,"inc case"
"2020-02-01","02",0,"inc case"
"2020-02-01","01",0,"inc case"
"2020-02-01","05",0,"inc case"
